,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
49677,31.0,2.0,0.14,21.7,23.8,51.5,0.56,1.6,14.2,2.0
49681,31.0,1.0,0.18,22.2,22.8,51.2,0.64,2.0,14.2,-1.0
49683,31.0,1.0,0.2,22.1,23.1,52.0,0.64,1.2,14.2,0.0
49684,31.0,1.0,0.08,22.3,23.9,51.0,0.66,1.2,14.2,1.0
49687,31.0,2.0,0.05,21.9,23.8,50.5,1.1,1.5,14.2,-2.0
49692,31.0,2.0,0.08,22.6,24.4,49.9,0.5,1.9,14.2,-1.0
49693,31.0,1.0,0.08,22.7,24.8,49.4,0.64,1.8,14.2,0.0
49696,31.0,2.0,0.13,22.7,25.2,49.3,0.76,1.2,14.2,-1.0
49698,31.0,2.0,0.05,22.9,25.4,49.8,0.9,1.4,14.2,0.0
49702,31.0,2.0,0.08,23.2,25.4,47.7,0.79,1.5,14.2,-2.0
49704,31.0,1.0,0.11,22.3,24.2,47.8,1.04,1.2,14.2,-1.0
49706,31.0,2.0,0.05,22.5,24.0,51.4,0.81,1.1,14.2,-2.0
49708,31.0,1.0,0.09,21.9,24.2,54.9,1.05,1.2,14.2,-2.0
49711,31.0,2.0,0.1,22.7,24.8,50.6,0.69,1.6,14.2,0.0
49713,31.0,2.0,0.07,23.0,24.3,50.3,0.57,1.6,14.2,-1.0
49714,31.0,1.0,0.06,22.6,23.9,52.5,0.71,1.3,14.2,-1.0
49717,31.0,1.0,0.07,22.3,24.1,52.8,1.12,1.2,14.2,-1.0
49718,31.0,1.0,0.07,22.4,24.1,51.9,0.82,1.1,14.2,2.0
49723,31.0,2.0,0.06,22.0,23.6,53.2,0.92,1.1,14.2,0.0
49726,31.0,1.0,0.14,23.1,25.0,47.6,0.64,1.6,14.2,1.0
49729,31.0,2.0,0.08,23.6,25.5,47.0,0.73,1.2,14.2,1.0
49731,31.0,2.0,0.12,23.3,25.1,47.1,0.83,1.2,14.2,2.0
49732,31.0,2.0,0.16,23.7,25.8,44.3,0.88,1.2,14.2,-1.0
49736,31.0,2.0,0.09,24.9,25.2,41.5,0.8,1.2,14.2,0.0
49738,31.0,2.0,0.07,23.9,25.7,45.1,0.9,1.5,14.2,-2.0
49740,31.0,1.0,0.07,22.9,25.3,48.0,0.69,1.1,14.2,-1.0
49741,31.0,2.0,0.07,23.6,26.0,47.0,0.71,1.6,14.2,-2.0
49742,31.0,2.0,0.05,24.0,26.8,45.9,0.73,1.9,14.2,0.0
49743,31.0,1.0,0.14,24.2,26.5,44.4,0.85,1.1,14.2,-1.0
49776,31.0,2.0,0.1,24.2,22.6,43.2,0.6,1.2,15.5,-1.0
49777,31.0,2.0,0.2,23.2,23.3,44.3,0.43,1.8,15.5,1.0
49778,31.0,2.0,0.1,22.8,23.9,49.8,0.38,1.4,15.5,0.0
49779,31.0,2.0,0.1,22.9,24.2,49.7,0.74,1.4,15.5,0.0
49780,31.0,2.0,0.1,22.5,23.1,44.7,0.79,1.2,15.5,-1.0
49782,31.0,2.0,0.1,24.2,25.3,46.6,0.42,1.9,15.5,2.0
49783,31.0,1.0,0.1,20.3,20.5,52.1,0.94,1.6,15.2,-2.0
49785,31.0,1.0,0.2,22.2,23.1,50.0,0.92,1.5,15.2,1.0
49786,31.0,1.0,0.1,22.7,23.1,47.8,1.08,1.2,15.2,1.0
49787,31.0,1.0,0.1,21.4,22.9,52.7,0.79,1.6,15.2,1.0
49788,31.0,2.0,0.1,21.5,22.9,52.3,0.85,1.6,15.2,-2.0
49789,31.0,1.0,0.1,22.7,24.1,47.7,0.64,1.4,15.2,-1.0
49790,31.0,2.0,0.1,22.7,24.4,47.4,1.01,1.5,15.2,-2.0
49792,31.0,2.0,0.1,23.2,25.2,46.6,0.83,1.2,15.2,0.0
49793,31.0,2.0,0.1,22.8,24.7,48.5,0.71,1.0,15.2,1.0
49794,31.0,1.0,0.1,22.8,24.4,48.7,0.8,1.2,15.2,-2.0
49795,31.0,2.0,0.1,23.3,24.5,47.9,0.6,1.0,15.2,-1.0
49796,31.0,2.0,0.1,25.8,26.9,41.5,0.66,1.0,15.2,-2.0
49798,31.0,2.0,0.1,24.9,27.1,43.3,0.98,1.1,15.2,1.0
49799,31.0,2.0,0.1,25.3,26.4,43.1,0.76,1.4,15.2,1.0
49800,31.0,1.0,0.1,23.6,24.4,47.1,0.68,1.1,15.2,-2.0
49801,31.0,1.0,0.2,22.3,24.2,51.3,0.6,1.8,15.2,0.0
49802,31.0,1.0,0.1,22.6,23.8,50.4,0.52,1.9,15.2,2.0
49804,31.0,2.0,0.1,24.3,25.9,46.1,0.8,1.4,15.2,0.0
49805,31.0,2.0,0.1,24.1,25.4,47.3,0.38,2.0,15.2,0.0
49806,31.0,1.0,0.1,24.6,25.7,45.7,0.64,1.1,15.2,1.0
49807,31.0,2.0,0.1,24.5,26.2,45.9,0.18,1.2,15.2,2.0
49808,31.0,1.0,0.1,24.8,26.3,47.2,1.02,1.3,15.2,1.0
49810,31.0,2.0,0.2,24.2,23.7,47.9,0.75,1.2,15.2,-1.0
49811,31.0,1.0,0.2,24.0,24.8,49.0,0.57,1.1,15.2,1.0
49812,31.0,2.0,0.1,26.0,26.9,43.0,0.7,1.6,15.2,2.0
49813,31.0,2.0,0.1,26.6,27.7,43.3,0.64,1.3,15.2,2.0
49869,31.0,2.0,0.1,22.6,23.2,44.4,0.54,1.2,16.3,0.0
49870,31.0,2.0,0.3,21.0,21.1,44.5,0.89,1.5,16.3,-2.0
49871,31.0,1.0,0.3,21.3,21.7,42.5,0.72,1.2,16.3,0.0
49872,31.0,2.0,0.3,22.7,23.3,40.2,0.74,1.2,16.3,0.0
49873,31.0,2.0,0.4,21.3,24.6,46.3,0.45,1.3,16.3,-2.0
49874,31.0,1.0,0.1,21.2,23.4,44.1,0.7,1.4,16.3,1.0
49875,31.0,1.0,0.1,23.1,24.1,41.0,0.71,1.6,16.3,0.0
49876,31.0,1.0,0.1,24.5,24.8,37.5,0.53,1.2,16.3,-1.0
49877,31.0,1.0,0.2,27.8,28.5,31.3,0.69,1.2,16.3,2.0
49896,31.0,2.0,0.1,22.7,23.1,52.0,0.63,1.4,18.9,0.0
49897,31.0,2.0,0.1,23.7,23.4,49.5,0.41,1.7,18.9,0.0
49898,31.0,1.0,0.1,23.7,24.0,49.8,0.54,1.6,18.9,1.0
49899,31.0,2.0,0.1,23.6,24.2,49.6,0.58,2.1,18.9,1.0
49900,31.0,2.0,0.1,23.9,24.1,49.0,0.64,1.7,18.9,0.0
49901,31.0,2.0,0.1,23.6,23.9,49.7,0.71,1.4,18.9,0.0
49902,31.0,1.0,0.1,23.3,24.1,50.0,1.03,1.4,18.9,0.0
49903,31.0,1.0,0.1,23.9,24.3,49.2,0.64,1.2,18.9,1.0
49904,31.0,1.0,0.1,23.9,24.4,48.3,0.67,1.3,18.9,1.0
49905,31.0,1.0,0.1,22.2,22.0,53.2,0.66,1.0,18.9,-2.0
49906,31.0,2.0,0.1,22.5,23.1,53.0,0.69,1.2,18.9,0.0
49907,31.0,1.0,0.1,23.1,23.1,50.7,0.69,1.2,18.9,-1.0
49908,31.0,2.0,0.1,23.8,23.7,48.5,0.77,1.2,18.9,1.0
49909,31.0,1.0,0.1,23.6,23.2,49.1,0.7,1.1,18.9,-1.0
49910,31.0,2.0,0.1,24.1,24.6,48.2,0.64,1.2,18.9,1.0
49911,31.0,2.0,0.1,23.5,23.7,48.9,0.46,1.3,18.9,-2.0
49912,31.0,2.0,0.2,24.7,24.7,47.6,0.51,1.3,18.9,0.0
49913,31.0,2.0,0.1,23.7,24.0,47.1,0.53,1.2,18.9,0.0
49914,31.0,1.0,0.2,23.5,23.7,51.4,0.68,1.3,18.9,-1.0
49915,31.0,1.0,0.1,23.7,23.8,48.3,0.55,1.5,18.9,0.0
49916,31.0,2.0,0.1,24.0,23.9,46.8,0.89,1.1,18.9,1.0
49917,31.0,1.0,0.1,24.5,24.9,36.5,0.39,1.2,18.9,2.0
49918,31.0,2.0,0.2,25.7,25.2,40.8,0.49,1.4,18.9,1.0
49919,31.0,1.0,0.1,25.5,25.2,41.8,0.54,1.3,18.9,0.0
49920,31.0,2.0,0.2,25.7,26.0,40.6,0.44,1.5,18.9,2.0
49921,31.0,1.0,0.3,24.6,26.9,44.6,1.23,1.2,18.9,1.0
49922,31.0,2.0,0.3,25.3,25.5,41.5,0.55,1.2,18.9,1.0
49923,31.0,2.0,0.2,25.1,25.4,42.5,0.36,1.6,18.9,0.0
49924,31.0,1.0,0.2,25.3,26.0,44.4,0.77,1.3,18.9,1.0
50006,31.0,1.0,0.1,23.8,25.0,51.6,0.69,1.2,13.4,1.0
50008,31.0,1.0,0.1,22.6,25.1,50.9,0.63,1.2,13.4,0.0
50010,31.0,1.0,0.1,22.2,25.6,53.5,0.68,1.2,13.4,-1.0
50011,31.0,1.0,0.1,24.7,24.8,47.9,0.63,1.2,13.4,1.0
50015,31.0,1.0,0.1,22.0,25.5,54.4,0.6,1.2,13.4,-2.0
50026,31.0,1.0,0.1,23.5,25.9,50.8,0.57,1.8,18.4,0.0
50032,31.0,1.0,0.1,22.6,23.9,51.7,0.55,2.3,18.4,0.0
50033,31.0,2.0,0.1,24.5,25.0,48.5,0.39,1.9,18.4,2.0
50108,31.0,1.0,0.1,22.0,23.0,60.9,0.63,1.2,19.8,0.0
50111,31.0,2.0,0.1,22.0,23.6,59.2,0.73,1.4,19.8,1.0
50117,31.0,2.0,0.1,22.5,24.2,60.5,0.88,1.2,19.8,0.0
50118,31.0,1.0,0.1,22.2,25.9,58.5,0.58,1.2,19.8,0.0
50121,31.0,1.0,0.1,23.3,24.9,56.9,0.73,1.2,19.8,-1.0
50123,31.0,2.0,0.1,23.7,24.9,61.4,0.7,1.2,17.7,2.0
50124,31.0,1.0,0.1,22.7,24.2,59.5,0.57,1.4,19.8,0.0
50127,31.0,2.0,0.1,24.1,24.8,60.5,0.54,1.2,17.7,1.0
50129,31.0,2.0,0.1,24.6,25.0,59.3,0.57,1.2,17.7,1.0
50131,31.0,2.0,0.1,24.9,24.9,58.7,0.57,1.5,17.7,1.0
50134,31.0,2.0,0.1,24.6,24.6,58.1,0.64,1.5,17.7,1.0
50139,31.0,2.0,0.4,24.6,25.9,45.7,0.51,1.2,17.7,0.0
50140,31.0,2.0,0.2,25.2,26.1,45.2,0.88,1.2,17.7,0.0
50141,31.0,1.0,0.1,25.2,26.3,45.4,0.78,1.2,17.7,2.0
50143,31.0,1.0,0.1,26.3,26.3,44.4,0.69,1.4,17.7,2.0
50145,31.0,1.0,0.2,25.1,25.5,46.7,0.74,1.2,17.7,0.0
50147,31.0,2.0,0.2,25.0,25.6,45.8,0.54,1.3,17.7,-2.0
50149,31.0,2.0,0.1,22.2,22.9,60.5,0.73,1.5,16.1,1.0
50150,31.0,1.0,0.1,22.4,22.7,59.9,0.75,1.2,16.1,-2.0
50151,31.0,1.0,0.1,22.5,23.0,59.8,0.76,1.0,16.1,1.0
50152,31.0,1.0,0.1,22.9,23.1,59.0,0.59,2.7,16.1,1.0
50153,31.0,2.0,0.2,22.9,23.4,58.4,0.91,1.2,16.1,1.0
50154,31.0,2.0,0.1,22.9,23.7,58.5,0.55,1.8,16.1,0.0
50156,31.0,2.0,0.1,23.5,24.3,56.2,0.67,1.2,16.1,1.0
50157,31.0,1.0,0.1,22.5,22.1,60.8,0.88,1.7,16.1,-2.0
50158,31.0,1.0,0.1,23.8,24.1,56.3,1.01,1.4,16.1,-2.0
50159,31.0,2.0,0.1,23.6,24.0,56.8,0.52,1.7,16.1,-1.0
50161,31.0,1.0,0.1,22.9,23.1,57.4,1.04,1.2,16.1,-2.0
50162,31.0,2.0,0.1,22.4,23.0,59.5,0.59,1.6,16.1,-1.0
50163,31.0,1.0,0.1,21.7,21.9,61.9,0.61,1.4,16.1,0.0
50164,31.0,2.0,0.1,23.1,23.4,57.2,0.75,1.6,16.1,1.0
50165,31.0,1.0,0.1,22.7,23.8,60.0,0.64,1.0,16.1,-1.0
50166,31.0,1.0,0.1,23.3,23.9,58.1,0.54,1.6,16.1,1.0
50167,31.0,2.0,0.1,23.4,23.6,55.7,0.7,1.7,16.1,0.0
50168,31.0,2.0,0.1,24.0,24.7,54.0,0.92,1.2,16.1,1.0
50169,31.0,1.0,0.1,25.0,24.8,52.0,0.64,1.0,16.1,1.0
50170,31.0,1.0,0.1,24.5,24.6,53.4,1.03,1.3,16.1,1.0
50171,31.0,1.0,0.1,24.7,25.3,52.8,0.59,1.2,16.1,0.0
50172,31.0,2.0,0.1,24.9,25.5,51.3,0.7,1.1,16.1,1.0
50173,31.0,2.0,0.1,25.2,25.4,51.1,0.78,2.1,16.1,1.0
50174,31.0,2.0,0.1,25.2,26.0,50.4,0.6,1.2,16.1,1.0
50175,31.0,1.0,0.1,23.3,24.2,54.6,0.67,1.4,16.1,1.0
50176,31.0,2.0,0.1,23.5,23.9,54.8,0.51,1.9,16.1,2.0
50316,31.0,1.0,0.2,26.3,26.8,42.7,0.6,1.2,25.9,0.0
50318,31.0,2.0,0.1,26.8,27.2,41.9,0.84,1.2,25.9,0.0
50319,31.0,1.0,0.4,25.9,28.6,42.3,0.6,1.1,25.9,-1.0
50320,31.0,2.0,0.2,26.4,27.5,41.2,0.57,1.3,25.9,0.0
50322,31.0,1.0,0.1,27.0,27.5,39.6,0.64,1.2,25.9,1.0
50323,31.0,1.0,0.1,26.6,26.3,39.3,0.61,1.2,25.9,-1.0
50324,31.0,2.0,0.2,25.7,26.7,40.7,0.61,1.0,25.9,0.0
50325,31.0,2.0,0.1,27.1,27.1,37.4,0.71,1.2,25.9,-1.0
50326,31.0,2.0,0.1,27.6,27.1,38.9,0.61,1.2,25.9,0.0
50327,31.0,1.0,0.1,27.7,27.6,35.9,0.63,1.2,25.9,1.0
50328,31.0,1.0,0.1,27.9,27.6,36.2,0.56,1.0,25.9,-1.0
50329,31.0,1.0,0.1,27.3,28.4,38.0,0.63,1.2,25.9,1.0
50330,31.0,1.0,0.1,27.7,28.8,37.0,0.62,1.2,25.9,1.0
50331,31.0,1.0,0.1,25.2,27.4,45.4,0.63,1.2,25.9,-1.0
50332,31.0,1.0,0.2,28.4,26.9,35.9,0.51,1.2,25.9,0.0
50333,31.0,1.0,0.1,28.5,27.2,37.0,0.61,1.2,25.9,1.0
50334,31.0,1.0,0.1,28.1,28.2,38.3,0.64,1.3,25.9,2.0
50335,31.0,1.0,0.1,28.4,28.7,36.6,0.54,1.6,25.9,1.0
50336,31.0,2.0,0.1,28.7,29.0,35.5,0.5,1.2,25.9,1.0
50440,31.0,1.0,0.1,22.2,23.8,47.4,0.78,1.4,13.1,0.0
50503,31.0,2.0,0.1,27.1,28.8,38.0,0.61,1.2,23.9,1.0
50504,31.0,2.0,0.1,26.1,28.8,40.0,0.8,1.2,23.9,-2.0
50505,31.0,2.0,0.2,27.0,28.4,40.5,0.65,1.0,23.9,0.0
50506,31.0,2.0,0.1,26.6,27.9,40.8,0.56,1.2,23.9,1.0
50514,31.0,1.0,0.1,24.6,25.3,44.7,0.99,1.2,10.5,0.0
50515,31.0,2.0,0.1,23.4,23.8,40.8,0.6,1.3,10.5,1.0
50517,31.0,1.0,0.1,25.4,25.4,42.2,0.67,1.6,10.5,0.0
50518,31.0,1.0,0.1,23.9,24.4,48.5,0.78,1.2,10.5,0.0
50526,31.0,2.0,0.1,23.2,23.2,46.7,0.95,1.0,10.7,0.0
50529,31.0,1.0,0.1,24.0,23.4,44.8,0.74,1.2,10.7,0.0
50530,31.0,2.0,0.1,23.9,23.6,45.4,0.82,1.8,10.7,0.0
50532,31.0,1.0,0.1,23.6,24.1,45.1,0.49,1.8,10.7,0.0
50534,31.0,1.0,0.1,21.4,22.2,51.7,1.18,1.2,10.7,0.0
50535,31.0,2.0,0.1,22.5,22.7,49.3,0.99,1.1,10.7,-2.0
50536,31.0,1.0,0.1,23.1,22.2,48.0,1.02,1.6,10.7,-2.0
50538,31.0,2.0,0.1,23.0,23.3,45.6,0.83,1.0,10.7,0.0
50539,31.0,1.0,0.1,22.5,23.1,47.6,0.74,1.1,10.7,2.0
50541,31.0,1.0,0.1,23.8,24.4,45.8,0.44,1.2,10.7,1.0
50542,31.0,2.0,0.1,23.5,23.6,45.7,0.71,1.9,10.7,1.0
50543,31.0,1.0,0.1,23.2,23.7,46.4,1.07,1.0,10.7,1.0
50544,31.0,2.0,0.1,24.2,24.1,44.5,0.73,1.2,10.7,1.0
50548,31.0,1.0,0.1,22.7,22.8,47.5,0.61,1.0,10.7,0.0
50608,31.0,1.0,0.1,23.5,24.5,34.7,0.68,1.2,9.8,0.0
50611,31.0,2.0,0.1,23.0,23.2,32.6,0.66,1.6,9.8,0.0
50618,31.0,1.0,0.1,22.5,25.3,34.1,0.82,1.2,9.8,0.0
50620,31.0,2.0,0.1,24.1,25.0,33.2,0.74,1.2,9.8,2.0
50622,31.0,2.0,0.1,22.9,24.3,33.0,0.65,1.2,9.8,0.0
50623,31.0,1.0,0.1,23.3,25.4,30.5,0.67,1.3,9.8,1.0
50631,31.0,1.0,0.1,21.8,23.3,42.2,0.66,1.3,9.2,0.0
50636,31.0,1.0,0.1,23.4,24.8,35.2,0.82,1.2,9.2,-1.0
50651,31.0,1.0,0.1,22.7,22.9,35.1,0.78,1.4,9.2,-1.0
50875,31.0,2.0,1.2,24.1,24.0,42.1,0.7,2.0,20.2,0.0
50876,31.0,1.0,1.2,24.3,24.8,39.6,0.78,1.2,20.2,1.0
50877,31.0,2.0,1.2,23.5,25.9,40.7,0.93,1.2,20.2,1.0
50878,31.0,1.0,1.1,23.5,26.3,40.5,0.73,1.0,20.2,0.0
50879,31.0,2.0,1.0,22.1,26.9,41.6,0.82,1.2,20.2,-1.0
50880,31.0,1.0,1.0,22.3,25.1,41.0,0.73,1.1,20.2,1.0
50881,31.0,2.0,1.0,22.0,25.7,41.5,0.79,1.9,20.2,0.0
50882,31.0,1.0,0.1,23.5,24.3,45.9,0.73,1.2,20.2,-1.0
50883,31.0,1.0,0.1,23.6,24.4,41.9,0.98,1.0,20.2,0.0
50884,31.0,1.0,0.1,24.3,25.0,33.5,0.61,1.2,20.2,-1.0
50885,31.0,1.0,0.1,25.1,26.1,31.7,0.78,1.2,20.2,1.0
50886,31.0,2.0,0.1,25.3,26.9,30.7,0.63,2.0,20.2,2.0
50887,31.0,1.0,0.2,25.2,27.5,31.7,0.73,1.2,20.2,-1.0
50945,31.0,1.0,0.1,22.7,23.6,51.8,0.64,2.1,13.4,0.0
50946,31.0,2.0,0.1,24.0,25.2,43.8,0.76,1.0,13.4,0.0
50947,31.0,1.0,0.1,24.3,25.3,44.9,0.68,1.5,13.4,1.0
50949,31.0,2.0,0.1,24.5,25.1,42.5,0.58,1.8,13.4,2.0
50951,31.0,1.0,0.1,23.6,24.7,44.4,0.67,1.3,13.4,-1.0
50955,31.0,1.0,0.1,24.2,26.5,45.7,0.57,1.3,13.4,2.0
50963,31.0,2.0,0.1,20.3,21.5,51.1,0.7,1.0,18.8,1.0
50967,31.0,2.0,0.1,22.9,24.0,44.3,0.77,1.1,13.4,1.0
51001,31.0,1.0,0.1,23.1,23.2,46.8,0.69,1.5,7.4,1.0
51003,31.0,2.0,0.1,23.6,23.7,41.2,0.61,1.2,7.4,-1.0
51010,31.0,1.0,0.1,22.7,24.0,45.4,0.69,1.2,7.4,0.0
51014,31.0,2.0,0.1,23.8,23.9,42.2,0.5,1.6,7.4,0.0
51016,31.0,2.0,0.1,24.8,25.2,38.4,0.83,1.2,7.4,1.0
51018,31.0,2.0,0.1,25.5,25.3,36.3,0.72,1.3,7.4,2.0
51021,31.0,2.0,0.1,25.1,26.5,37.6,0.77,2.3,7.4,1.0
51023,31.0,1.0,0.1,23.7,24.8,42.8,0.79,1.2,7.4,-1.0
51040,31.0,1.0,0.1,21.6,22.6,22.3,0.87,1.2,0.6,0.0
51088,31.0,2.0,0.1,21.9,22.4,36.8,0.83,2.1,6.3,1.0
51090,31.0,1.0,0.1,21.6,22.2,37.5,0.72,1.3,6.3,1.0
51091,31.0,2.0,0.1,22.2,22.8,37.0,0.48,1.6,6.3,0.0
51094,31.0,2.0,0.1,20.4,21.7,41.0,0.77,2.0,6.3,0.0
51096,31.0,1.0,0.1,21.9,22.3,37.9,1.16,1.2,6.3,1.0
51099,31.0,1.0,0.1,23.2,23.9,36.8,0.73,1.2,6.3,0.0
51102,31.0,2.0,0.1,22.1,23.6,38.2,1.15,1.0,6.3,-2.0
51104,31.0,2.0,0.1,22.0,23.3,38.4,1.02,1.2,6.3,-1.0
51106,31.0,2.0,0.1,23.4,23.3,35.0,1.08,1.2,6.3,2.0
51108,31.0,1.0,0.1,22.0,24.3,39.3,0.9,1.2,6.3,-1.0
51109,31.0,1.0,0.1,22.4,23.7,39.2,0.74,1.2,6.3,-2.0
51111,31.0,2.0,0.1,24.4,24.6,36.5,0.95,1.4,6.3,1.0
51112,31.0,2.0,0.1,24.0,25.0,37.0,0.68,2.0,6.3,-1.0
51114,31.0,1.0,0.1,22.3,23.3,41.1,0.74,1.2,6.3,-2.0
51122,31.0,1.0,0.1,23.0,23.7,40.3,0.97,2.0,6.3,0.0
51124,31.0,1.0,0.1,23.7,23.8,38.1,0.5,2.8,6.3,1.0
51126,31.0,2.0,0.1,23.9,24.4,38.7,0.64,1.2,6.3,0.0
51129,31.0,1.0,0.1,23.4,24.3,40.6,0.95,1.2,6.3,-1.0
51130,31.0,1.0,0.2,21.8,25.8,43.0,0.82,1.2,6.3,1.0
51132,31.0,1.0,0.1,21.7,23.2,44.5,1.1,1.2,6.3,0.0
51165,31.0,1.0,0.1,22.7,23.4,24.7,0.82,1.2,3.9,0.0
51166,31.0,1.0,0.1,23.2,23.8,23.9,1.09,1.2,3.9,0.0
51174,31.0,1.0,0.1,22.6,24.0,23.7,0.68,1.2,3.9,0.0
51178,31.0,2.0,0.1,23.2,24.2,22.9,0.77,1.2,3.9,0.0
51179,31.0,1.0,0.1,23.7,24.8,22.0,0.82,1.2,3.9,0.0
51188,31.0,1.0,0.1,23.2,23.3,25.6,1.08,1.2,3.9,1.0
51205,31.0,1.0,0.1,22.9,23.4,29.3,0.77,1.6,3.9,0.0
51465,31.0,2.0,0.01,22.0,21.9,31.6,0.85,1.5,1.5,2.0
51467,31.0,2.0,0.01,22.5,22.6,30.9,0.89,1.2,1.5,-1.0
51469,31.0,1.0,0.01,21.6,22.7,31.2,0.95,1.4,1.5,0.0
51470,31.0,2.0,0.01,23.0,22.8,31.3,1.15,1.2,1.5,2.0
51473,31.0,2.0,0.01,23.1,23.4,32.1,0.28,2.0,1.5,0.0
51474,31.0,2.0,0.01,23.4,23.4,31.7,1.05,1.2,1.5,2.0
51475,31.0,1.0,0.01,23.4,23.5,30.8,1.13,1.2,1.5,2.0
