,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
708,32.0,2.0,0.03,23.72,23.72,61.78,0.22,1.6,28.0,0.0
736,32.0,2.0,0.03,24.07,24.07,54.12,0.52,1.05,32.0,0.0
810,32.0,2.0,0.03,23.29,23.29,49.11,0.44,1.6,27.0,-1.0
817,32.0,2.0,0.03,23.55,23.55,48.59,0.34,1.05,28.0,0.0
832,32.0,2.0,0.03,23.81,23.81,48.6,0.34,1.05,29.0,0.0
900,32.0,2.0,0.03,23.55,23.55,57.74,0.31,1.6,27.0,-1.0
912,32.0,2.0,0.03,23.98,23.98,55.62,0.56,1.0,31.0,0.0
928,32.0,2.0,0.03,24.07,24.07,53.04,0.56,1.05,30.0,1.0
996,32.0,2.0,0.03,23.38,23.38,59.72,0.31,1.6,28.0,1.0
1008,32.0,2.0,0.03,24.07,24.07,55.84,0.56,1.05,31.0,0.0
1025,32.0,2.0,0.03,24.07,24.07,54.1,0.31,1.05,32.0,1.0
1092,32.0,2.0,0.03,23.72,23.72,61.36,0.32,1.6,26.0,1.0
1105,32.0,2.0,0.03,23.89,23.89,56.25,0.34,1.05,26.0,0.0
1120,32.0,2.0,0.03,23.98,23.98,52.84,0.34,1.05,28.0,1.0
1380,32.0,2.0,0.03,23.2,23.2,52.82,0.34,1.6,26.0,1.0
1392,32.0,2.0,0.03,23.89,23.89,50.05,0.59,1.05,29.0,-1.0
1477,32.0,2.0,0.03,23.2,23.2,53.72,0.4,1.6,24.0,0.0
1488,32.0,2.0,0.03,24.07,24.07,51.0,0.4,1.367,24.0,1.0
1505,32.0,2.0,0.03,23.98,23.98,49.25,0.4,1.05,24.0,0.0
1571,32.0,2.0,0.03,23.03,23.03,55.63,0.31,1.6,27.0,0.0
1584,32.0,2.0,0.03,24.07,24.07,51.6,0.31,1.05,28.0,-1.0
1669,32.0,2.0,0.03,23.03,23.03,52.4,0.34,1.6,25.0,1.0
1680,32.0,2.0,0.03,23.38,23.38,50.52,0.34,1.05,28.0,-1.0
1697,32.0,2.0,0.03,24.07,24.07,47.17,0.34,1.05,30.0,0.0
1766,32.0,2.0,0.03,23.72,23.72,55.58,0.32,1.6,27.0,0.0
1776,32.0,2.0,0.03,23.72,23.72,53.26,0.57,1.267,31.0,-1.0
4944,32.0,2.0,0.03,24.76,24.76,43.65,0.33,1.05,21.0,0.0
4960,32.0,2.0,0.03,23.38,23.38,41.16,0.33,1.1,21.0,0.0
8965,32.0,2.0,0.03,21.13,21.13,44.06,0.61,2.0,8.0,0.0
8976,32.0,2.0,0.03,22.69,22.69,39.83,0.86,1.033,9.0,-2.0
8992,32.0,2.0,0.03,22.69,22.69,35.52,0.86,1.05,10.0,0.0
9060,32.0,2.0,0.03,20.95,20.95,40.92,0.88,1.0,9.0,1.0
9072,32.0,2.0,0.03,22.94,22.94,35.81,0.88,1.05,11.0,0.0
9088,32.0,2.0,0.03,23.03,23.03,34.08,0.88,1.033,10.0,1.0
9156,32.0,2.0,0.03,21.65,21.65,38.36,0.8,1.9,8.0,0.0
9168,32.0,2.0,0.03,22.94,22.94,35.38,0.8,1.067,10.0,-1.0
9184,32.0,2.0,0.03,23.72,23.72,32.39,0.8,1.275,9.0,1.0
9456,32.0,2.0,0.03,22.69,22.69,26.8,0.85,1.15,6.0,-2.0
9473,32.0,2.0,0.03,23.03,23.03,26.86,0.75,1.067,7.0,0.0
9539,32.0,2.0,0.03,19.92,19.92,29.06,0.77,1.9,3.0,0.0
9552,32.0,2.0,0.03,21.99,21.99,24.17,0.77,1.175,6.277778,0.0
9569,32.0,2.0,0.03,22.43,22.43,25.25,0.67,1.033,7.0,0.0
9637,32.0,2.0,0.03,20.95,20.95,28.93,0.69,1.9,4.0,0.0
9648,32.0,2.0,0.03,21.3,21.3,26.41,0.79,1.275,3.0,-2.0
9664,32.0,2.0,0.03,21.82,21.82,26.82,0.79,1.15,3.0,0.0
9731,32.0,2.0,0.03,19.92,19.92,30.75,0.76,1.9,6.0,0.0
9745,32.0,2.0,0.03,22.69,22.69,23.26,0.76,1.033,9.0,1.0
9761,32.0,2.0,0.03,23.29,23.29,25.68,0.76,1.15,11.0,1.0
10129,32.0,2.0,0.03,23.38,23.38,43.1,0.73,1.067,21.0,1.0
10144,32.0,2.0,0.03,22.34,22.34,42.21,0.73,1.067,20.0,0.0
10224,32.0,2.0,0.03,22.34,22.34,41.42,0.59,1.375,7.0,-1.0
10240,32.0,2.0,0.03,23.03,23.03,33.19,0.59,1.067,9.0,-1.0
15685,32.0,2.0,0.03,20.61,20.61,30.2,0.65,1.5,4.0,0.0
15698,32.0,2.0,0.03,22.34,22.34,26.72,0.65,1.5,9.0,-1.0
15713,32.0,2.0,0.03,22.69,22.69,30.18,0.65,1.2,10.0,0.0
15781,32.0,2.0,0.03,21.3,21.3,29.99,0.62,1.9,6.0,-1.0
15793,32.0,2.0,0.03,21.99,21.99,26.58,0.87,1.067,8.0,0.0
15809,32.0,2.0,0.03,22.34,22.34,26.91,0.87,1.2,10.0,0.0
17509,32.0,2.0,0.03,21.13,21.13,21.31,0.71,1.6,-1.0,1.0
17525,32.0,2.0,0.03,22.34,22.34,22.46,0.71,1.5,1.0,-2.0
17536,32.0,2.0,0.03,21.73,21.73,21.97,0.71,1.067,2.0,0.0
17605,32.0,2.0,0.03,21.3,21.3,27.72,0.8,1.6,4.0,0.0
17617,32.0,2.0,0.03,22.34,22.34,28.02,0.8,1.067,8.0,0.0
17635,32.0,2.0,0.03,22.69,22.69,30.34,0.8,1.067,12.0,1.0
17700,32.0,2.0,0.03,21.13,21.13,35.08,0.78,1.75,12.0,0.0
17729,32.0,2.0,0.03,23.2,23.2,44.71,0.42,1.067,19.0,0.0
17798,32.0,2.0,0.03,21.04,21.04,30.33,0.57,1.6,7.0,0.0
17809,32.0,2.0,0.03,22.25,22.25,28.76,0.871,1.275,7.0,-2.0
17825,32.0,2.0,0.03,22.6,22.6,27.61,0.871,1.5,6.0,0.0
17892,32.0,2.0,0.03,20.87,20.87,24.2,0.99,1.6,-1.0,1.0
17904,32.0,2.0,0.03,21.91,21.91,20.19,0.99,1.067,-1.0,-2.0
18276,32.0,2.0,0.03,19.92,19.92,23.82,0.95,1.6,0.0,1.0
18289,32.0,2.0,0.03,21.65,21.65,20.88,0.95,1.0,1.0,0.0
18305,32.0,2.0,0.03,21.99,21.99,21.78,0.95,1.067,1.0,1.0
18372,32.0,2.0,0.03,20.17,20.17,26.61,0.67,1.9,1.0,0.0
18385,32.0,2.0,0.03,21.99,21.99,22.58,0.67,1.033,4.0,-1.0
18480,32.0,2.0,0.03,21.3,21.3,20.22,0.88,1.653,2.0,-2.0
18565,32.0,2.0,0.03,20.35,20.35,26.44,0.59,1.6,3.0,1.0
18576,32.0,2.0,0.03,21.82,21.82,25.01,0.95,1.067,3.0,0.0
18592,32.0,2.0,0.03,21.82,21.82,27.52,0.95,1.067,3.0,-1.0
24228,32.0,2.0,0.03,22.34,22.34,32.52,0.64,1.6,17.0,0.0
24240,32.0,2.0,0.03,23.72,23.72,33.05,0.64,1.05,23.0,0.0
24324,32.0,2.0,0.03,22.69,22.69,44.36,0.561,1.75,22.0,0.0
24432,32.0,2.0,0.03,24.07,24.07,44.91,0.51,1.033,30.0,0.0
24448,32.0,2.0,0.03,24.76,24.76,45.68,0.51,1.033,31.0,0.0
24517,32.0,2.0,0.03,23.38,23.38,54.8,0.55,1.6,21.0,0.0
24613,32.0,2.0,0.03,21.73,21.73,43.2,0.74,1.6,8.0,0.0
24627,32.0,2.0,0.03,22.69,22.69,37.31,0.74,1.067,9.0,1.0
24643,32.0,2.0,0.03,23.2,23.2,39.38,0.74,1.15,9.0,0.0
24901,32.0,2.0,0.03,22.34,22.34,30.09,0.32,1.6,9.444444,0.0
24912,32.0,2.0,0.03,23.64,23.64,28.71,0.79,1.033,12.0,-1.0
24929,32.0,2.0,0.03,24.07,24.07,30.17,0.79,1.067,13.611111,1.0
25025,32.0,2.0,0.03,25.36,25.36,42.56,0.59,1.067,23.0,0.0
25107,32.0,2.0,0.03,23.03,23.03,44.74,0.82,1.067,18.0,-2.0
25121,32.0,2.0,0.03,23.38,23.38,42.57,0.82,1.067,21.0,0.0
25189,32.0,2.0,0.03,22.69,22.69,43.76,0.52,1.6,14.0,0.0
25201,32.0,2.0,0.03,23.89,23.89,43.91,0.77,1.067,16.0,-1.0
25220,32.0,2.0,0.03,24.07,24.07,46.34,0.77,1.033,18.0,1.0
25291,32.0,2.0,0.03,23.46,23.46,53.4,0.8,1.5,22.0,-2.0
25296,32.0,2.0,0.03,23.38,23.38,54.35,0.8,1.067,23.0,0.0
25312,32.0,2.0,0.03,23.29,23.29,57.26,0.8,1.067,25.0,0.0
35107,56.0,2.0,0.03,24.14,24.14,55.63,0.61,1.475,29.0,1.0
35168,56.0,2.0,0.03,23.33,23.33,55.63,0.44,2.8,24.0,0.0
35185,56.0,2.0,0.03,22.81,22.81,55.63,0.74,1.475,28.0,0.0
