,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Thermal sensation
0,1.0,2.0,0.1,22.3,23.1,29.0,38.0,-1
1,2.0,2.0,0.1,22.3,23.1,29.0,38.0,-1
2,1.0,2.0,0.1,22.3,23.1,29.0,38.0,-2
5,1.0,1.0,0.1,22.3,23.1,29.0,38.0,0
8,2.0,2.0,0.1,22.3,23.1,29.0,38.0,0
9,2.0,1.0,0.1,22.3,23.1,29.0,38.0,0
10,2.0,1.0,0.1,22.3,23.1,29.0,38.0,1
11,2.0,1.0,0.1,22.3,23.1,29.0,38.0,-1
14,1.0,1.0,0.1,22.3,23.1,29.0,38.0,1
17,2.0,2.0,0.1,22.3,23.1,29.0,38.0,-2
19,1.0,1.0,0.1,22.3,23.1,29.0,38.0,-1
21,2.0,1.0,0.1,22.975,23.1,29.0,38.0,-1
22,2.0,1.0,0.1,22.975,23.1,29.0,38.0,0
23,1.0,2.0,0.1,22.975,23.1,29.0,38.0,0
24,1.0,2.0,0.1,22.975,23.1,29.0,38.0,-1
25,2.0,2.0,0.1,22.975,23.1,29.0,38.0,0
26,1.0,1.0,0.1,22.975,23.1,29.0,38.0,-1
27,2.0,1.0,0.1,22.975,23.1,29.0,38.0,1
30,1.0,1.0,0.1,22.975,23.1,29.0,38.0,0
51,2.0,2.0,0.1,22.975,23.1,29.0,38.0,-1
54,1.0,1.0,0.1,22.65,23.1,21.5,40.0,0
55,2.0,1.0,0.1,22.65,23.1,21.5,40.0,-1
56,1.0,1.0,0.1,22.65,23.1,21.5,40.0,-1
60,1.0,2.0,0.1,22.65,23.1,21.5,40.0,-1
61,2.0,1.0,0.1,22.65,23.1,21.5,40.0,-2
63,2.0,1.0,0.1,22.65,23.1,21.5,40.0,0
69,1.0,2.0,0.1,22.65,23.1,21.5,40.0,0
73,2.0,2.0,0.1,22.65,23.1,21.5,40.0,-1
74,3.0,2.0,0.1,22.65,23.1,21.5,40.0,-2
77,1.0,1.0,0.1,23.7,23.1,49.0,26.8,0
78,2.0,2.0,0.1,23.7,23.1,49.0,26.8,0
79,2.0,1.0,0.1,23.7,23.1,49.0,26.8,1
80,2.0,1.0,0.1,23.7,23.1,49.0,26.8,-1
81,1.0,1.0,0.1,23.7,23.1,49.0,26.8,-1
82,1.0,1.0,0.1,23.7,23.1,49.0,26.8,1
87,2.0,1.0,0.1,23.7,23.1,49.0,26.8,0
95,1.0,2.0,0.1,23.7,23.1,49.0,26.8,0
97,2.0,2.0,0.1,23.7,23.1,49.0,26.8,1
105,1.0,2.0,0.1,23.9,23.1,42.0,29.8,0
107,2.0,2.0,0.1,23.9,23.1,42.0,29.8,0
108,2.0,1.0,0.1,23.9,23.1,42.0,29.8,-1
109,1.0,1.0,0.1,23.9,23.1,42.0,29.8,0
111,2.0,1.0,0.1,23.9,23.1,42.0,29.8,0
115,2.0,2.0,0.1,23.9,23.1,42.0,29.8,-1
124,1.0,2.0,0.1,23.9,23.1,42.0,29.8,-1
128,1.0,1.0,0.1,23.9,23.1,42.0,29.8,1
129,1.0,1.0,0.1,23.7,23.1,37.0,27.2,0
131,2.0,2.0,0.1,23.7,23.1,37.0,27.2,-1
132,2.0,1.0,0.1,23.7,23.1,37.0,27.2,-1
133,2.0,1.0,0.1,23.7,23.1,37.0,27.2,0
135,1.0,1.0,0.1,23.7,23.1,37.0,27.2,-1
138,1.0,2.0,0.1,23.7,23.1,37.0,27.2,0
139,2.0,2.0,0.1,23.7,23.1,37.0,27.2,0
145,3.0,2.0,0.1,23.7,23.1,37.0,27.2,-1
147,1.0,1.0,0.1,23.7,23.1,37.0,27.2,1
156,3.0,1.0,0.1,23.7,23.1,37.0,27.2,0
161,1.0,2.0,0.1,23.7,23.1,37.0,27.2,-1
171,1.0,2.0,0.1,23.7,23.1,37.0,27.2,-2
172,2.0,2.0,0.1,23.7,23.1,0.72,13.9,-1
